,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
81,False,/9nd63twZ4acBKD8ENy6DGEqRkeU.jpg,"['Documentary', 'Drama']",1017628,en,Rise: Director’s Cut,"This entry is for the director’s cut of the film, which is considered the definitive version. Two worlds collide in this story of an up and coming basketball prospect stuck in the shadow of his former friend, and now basketball rival.",0.879,/vd3p3rTKonVnXzmcE4OnfxC5iuH.jpg,2018-08-01,Rise: Director’s Cut,False,10.0,1
82,False,/gtv2H1u9eGffjxVqNfJBZuFCKxR.jpg,"['Comedy', 'Romance']",458423,en,Mamma Mia! Here We Go Again,"Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father.",25.71,/aWicerX4Y7n7tUwRAVHsVcBBpj2.jpg,2018-07-09,Mamma Mia! Here We Go Again,False,7.1,3071
83,False,/2lBOQK06tltt8SQaswgb8d657Mv.jpg,"['War', 'Drama', 'History']",530915,en,1917,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",96.113,/iZf0KyrE25z1sage4SYFLCCrMi9.jpg,2019-12-25,1917,False,8.0,11202
84,False,/bQXAqRx2Fgc46uCVWgoPz5L5Dtr.jpg,"['Action', 'Adventure', 'Science Fiction']",436270,en,Black Adam,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",385.745,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,2022-10-19,Black Adam,False,7.1,5229
85,False,/nY09lw5kPyXRqKHkrqddkcZGM5r.jpg,"['Action', 'Comedy']",923192,zh,这个杀手不太冷静,"Wei Chenggong, a working actor with big dreams, finally appears to get his big break when actress Milan invites him to play the lead role of ""Killer Karl"" in a new play. Little does Wei Chenggong know, he has fallen into a perilous conspiracy where all the villains are real, and only through his acting skills and good deal of luck will he be able to make it out alive.",3.42,/yN2VMJrgyklapBOn2EXmH8DQKck.jpg,2022-02-01,Too Cool to Kill,False,5.9,24
86,False,/ojHCeDULAkQK25700fhRU75Tur2.jpg,"['Science Fiction', 'Adventure', 'Action']",348350,en,Solo: A Star Wars Story,"Through a series of daring escapades deep within a dark and dangerous criminal underworld, Han Solo meets his mighty future copilot Chewbacca and encounters the notorious gambler Lando Calrissian.",42.766,/3IGbjc5ZC5yxim5W0sFING2kdcz.jpg,2018-05-15,Solo: A Star Wars Story,False,6.6,7795
87,False,/uovH5k4BAEPqXqxgwVrTtqH169g.jpg,"['Science Fiction', 'Action']",373571,en,Godzilla: King of the Monsters,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",72.429,/fQ40gmFM4p03tXwMxQQKh2cCBW4.jpg,2019-05-29,Godzilla: King of the Monsters,False,6.7,5393
88,False,/keIxh0wPr2Ymj0Btjh4gW7JJ89e.jpg,"['Action', 'Adventure', 'Science Fiction']",497698,en,Black Widow,"Natasha Romanoff, also known as Black Widow, confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises. Pursued by a force that will stop at nothing to bring her down, Natasha must deal with her history as a spy and the broken relationships left in her wake long before she became an Avenger.",109.958,/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,2021-07-07,Black Widow,False,7.3,9107
89,False,/e0WTSvngep4JmbyjVVC91V2MCHW.jpg,['Comedy'],538331,zh,西虹市首富,"A pathetic minor league Soccer Goalkeeper was given a task - to spend 1 Billion in thirty days, if successful he will get 30 Billion. However, he's not allowed to tell anyone about the task and he must not own any valuables by end of it.",10.392,/AlvbSlFnAAnE7k3r2INbG5Ydb3K.jpg,2018-07-27,Hello Mr. Billionaire,False,6.7,76
90,False,/qGQf2OHIkoh89K8XeKQzhxczf96.jpg,"['Action', 'Adventure', 'Animation', 'Science Fiction']",324857,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",315.354,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,Spider-Man: Into the Spider-Verse,False,8.4,13583
91,False,/oRiUKwDpcqDdoLwPoA4FIRh3hqY.jpg,"['Comedy', 'Drama', 'Thriller']",466272,en,Once Upon a Time… in Hollywood,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",58.201,/8j58iEBw9pOXFD2L0nt0ZXeHviB.jpg,2019-07-24,Once Upon a Time… in Hollywood,False,7.4,11981
92,False,/1kSpSW5geG01phAYENdFeWDZXMy.jpg,"['Action', 'Thriller', 'Adventure']",575264,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",966.508,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,2023-07-08,Mission: Impossible - Dead Reckoning Part One,False,7.8,609
93,False,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,"['Drama', 'Romance']",337167,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",125.727,/9ZedQHPQVveaIYmDSTazhT3y273.jpg,2018-01-17,Fifty Shades Freed,False,6.7,7431
94,False,/o7JVhqMmrex1TPbmuxl8YXVlcfl.jpg,"['Action', 'Comedy', 'Fantasy']",287947,en,Shazam!,A boy is given the ability to become an adult superhero in times of need with a single magic word.,68.331,/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,2019-03-29,Shazam!,False,7.0,8706
95,False,/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,"['Horror', 'Mystery', 'Thriller']",439079,en,The Nun,"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",130.544,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,2018-09-05,The Nun,False,5.9,5805
96,False,/yY76zq9XSuJ4nWyPDuwkdV7Wt0c.jpg,"['Action', 'Thriller', 'Science Fiction']",577922,en,Tenet,"Armed with only one word - Tenet - and fighting for the survival of the entire world, the Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",103.032,/aCIFMriQh8rvhxpN1IWGgvH0Tlg.jpg,2020-08-22,Tenet,False,7.2,8463
97,False,/gKDuRB6Uj3gzF8Dd85DOtkxi7KC.jpg,"['Adventure', 'Comedy', 'Fantasy']",497984,zh,捉妖记2,"The sequel to Monster Hunt. Set in a world where monsters and humans co-exist, the franchise tells the story of Wuba, a baby monster born to be king. Wuba becomes the central figure in stopping an all-out monster civil war.",17.987,/9wOkj2VXLvqUPQ77MUzgzuz6Cv5.jpg,2018-02-16,Monster Hunt 2,False,6.7,112
98,False,/cSYLX73WskxCgvpN3MtRkYUSj1T.jpg,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Romance']",976573,en,Elemental,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",1702.154,/8riWcADI1ekEiBguVB9vkilhiQm.jpg,2023-06-14,Elemental,False,7.6,571
99,False,/5tFt6iuGnKapHl5tw0X0cKcnuVo.jpg,"['Family', 'Fantasy', 'Adventure']",329996,en,Dumbo,"A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.",121.282,/deTOAcMWuHTjOUPQphwcPFFfTQz.jpg,2019-03-27,Dumbo,False,6.7,4039
